id,name,latitude,longitude,website
418444729,Hudson/Athens Light,42.2519918,-73.8087383,
418621659,,-55.9635495,-67.2208155,
419511853,Cape Bruny Lighthouse,-43.4910851,147.1422481,
420152049,,53.1163219,12.886646,
420358346,,44.3033446,9.21409,
421317970,,42.2465344,19.0919927,
421634834,,52.0051073,-4.9809299,
422030915,,58.5147758,13.1707224,
423220120,Geeste Nordmole Behelfsfeuer,53.5358949,8.5747348,
423793817,Blythswood Beacon,55.8908022,-4.401966,
424949835,,36.1049291,0.2035944,
425332246,,37.0395771,25.0870061,
425697978,,43.2797611,3.4438781,
426237190,,46.2080114,6.1559931,
426618808,Les Pâquis,46.2099985,6.1569289,
427097208,East Usk Lighthouse,51.5400136,-2.9669621,
427582786,Southwold Lighthouse,52.3272371,1.6814256,
427669269,Sleat Point Lighthouse,57.0183042,-6.0178577,
427959994,Far de Montjuïc,41.3609829,2.1659475,https://guia.barcelona.cat/detall/far-de-montjuic_133140417.html
427966551,lighthouse,-35.5089759,139.19097,
428700383,Cabot Head Lighthouse,45.2452876,-81.2920734,
429439904,Strukkamphuk,54.4093384,11.0956107,
429549997,Scurdie Ness,56.701781,-2.4373057,
429931109,,37.0333555,25.2588946,
430366105,Point Montara Light Station,37.5365031,-122.5193055,http://www.parks.ca.gov/?page_id=534
430542829,Faro Rosso,44.2087814,12.405284,
430542830,Faro Verde,44.208784,12.404481,
430928766,,39.3524921,22.9415401,
431015720,,39.9918851,23.6131821,
431061462,"Ruden, N-Leuchtfeuer",54.2058233,13.7697633,
431063508,,53.7116947,14.4661581,
431070821,Caputher Gemünde / Himmelreich,52.3517395,12.9933832,
431070823,Caputher Gemünde / Schwielowsee,52.3437735,12.9780009,
431076368,,54.4740995,9.8409756,
431334046,Faro de Nules,39.8264166,-0.110231,
431419325,,43.2804254,3.4427567,
432661565,,57.1458279,-4.6746969,
435685204,,57.6938966,-2.8236191,
436153120,,37.689129,26.9447876,
439573274,Hestan Island Lighthouse,54.8328986,-3.8081413,
439809666,Skomvær fyr,67.4109183,11.874925,
440384067,Djurstens fyr,60.3690216,18.4012072,
440611322,,54.0872363,-4.7593962,
441984183,Chicken Rock,54.0378794,-4.8375209,
442399290,Faro de Punta Sardina,28.1646426,-15.707783,
442668627,,53.4696698,12.3473364,
442669275,Gollwitz,54.0240359,11.4673812,
443470704,Faro San Francisco,0.6488101,-80.0866928,
443846893,,54.7657167,-4.0848667,
444014201,Oberfeuer Krautsand,53.7589219,9.374225,
444014202,Unterfeuer Krautsand,53.7545115,9.3863282,
444671024,,37.530367,130.8285251,
444671209,도동항로표시관리소(행남등대),37.48703,130.91943,
444671223,태하등대,37.518608,130.7971594,
444949732,Cozumel lighthouse,20.4954502,-86.9639986,
445330781,South Point Lighthouse,13.0470852,-59.5294812,
445414401,Needhams Point Lighthouse,13.0784814,-59.6109287,
446187022,Charles Point,-12.3893397,130.6309292,
448387859,Point Amour Lighthouse,51.4609389,-56.8579807,http://www.pointamourlighthouse.ca/home/
448744320,"Pagensand-Nord, Front Lt",53.715433,9.4890321,
448747992,Rhinplate Nord,53.80038,9.388269,
451977164,Farol da Berlenga,39.4153045,-9.5092544,
451988617,,39.3605573,-9.4077535,
453051110,Helsingin majakka,59.9489612,24.9263531,
455549721,Gammel-Pøl Fyr,54.8813788,10.0694009,
456011337,Mole 4,53.8874825,9.1256991,
457546778,,49.4575399,17.4515644,
458104724,ehem. Unterfeuer Schillig,53.6966016,8.0281021,
458237386,sa Puntassa,39.3124193,2.9935308,
458437275,Toledo Harbor Light,41.7619198,-83.3289633,
458715043,Sandy Cape Lighthouse,-24.7298978,153.2085341,
459031066,Berguddens fyr,63.7910671,20.8363914,
459834258,,55.9188865,12.6670716,
461709454,Faro da Barca,43.1130372,-9.2197672,
461813484,Phare d'Ailly,49.9160554,0.9584645,
461833100,Cap de ses Salines,39.2652188,3.0534115,
462138633,旧堺燈台,34.5834853,135.458956,
463252426,Faro di Punta Sottile,37.9350402,12.2722704,
463446232,Latarnia morska Czołpino,54.7183039,17.2412205,
465207572,Faro di Punta Marsala,37.9067484,12.3653778,
467676301,Phare de Gatteville,49.6964351,-1.2658767,
469173268,,9.7300186,118.733287,
469724587,Long Point Lighthouse,49.6878517,-54.7999756,
470734373,Cape Spear,47.5211987,-52.6224397,
470932530,,42.1565685,-8.8498324,
470994660,Duseudde,59.0788694,12.8831034,
471044640,Tarbat Ness Lighthouse,57.8650718,-3.7765882,
471453657,,51.4309507,7.2724482,
472122741,Tayport Low Light,56.4528318,-2.8923887,
472429280,Cap d'Artrutx,39.9225161,3.824251,
472429281,Punta Nati,40.0502143,3.8236346,
472429283,Far de Cavalleria,40.089017,4.0922786,
472429300,Far de l'illa de l'Aire,39.7994733,4.2931217,
472459326,Faro di Punta del Fenaio,42.3882771,10.8811615,
